COUNTY STATE 1990TP 1990NHP 1990HP 1990HSP 2000TP 2000NHP 2000HP 2000HSP 2010TP 2010NHP 2010HP 2010HSP 2011TP 2011NHP 2011HP 2011HSP
LeeCounty Arkansas 13053 12879 174 1,33 12580 12304 276 2,19 10424 10256 168 1,61 10326 10130 196 1,90
LincolnCounty Arkansas 13690 13538 152 1,11 14492 14229 263 1,81 14134 13682 452 3,20 14006 13533 473 3,38
LittleRiverCounty Arkansas 13966 13806 160 1,15 13628 13393 235 1,72 13171 12814 357 2,71 12996 12595 401 3,09
LoganCounty Arkansas 20557 20414 143 0,70 22486 22213 273 1,21 22353 21843 510 2,28 22290 21748 542 2,43
LonokeCounty Arkansas 39268 39022 246 0,63 52828 51906 922 1,75 68356 66110 2246 3,29 69341 66931 2410 3,48
MadisonCounty Arkansas 11618 11507 111 0,96 14243 13807 436 3,06 15717 14958 759 4,83 15776 14994 782 4,96
MarionCounty Arkansas 12001 11953 48 0,40 16140 16018 122 0,76 16653 16366 287 1,72 16573 16254 319 1,92
MillerCounty Arkansas 38467 38157 310 0,81 40443 39802 641 1,58 43462 42424 1038 2,39 43759 42427 1332 3,04
MississippiCounty Arkansas 57525 56780 745 1,30 51979 50810 1169 2,25 46480 44785 1695 3,65 45966 44255 1711 3,72
MonroeCounty Arkansas 11333 11301 32 0,28 10254 10122 132 1,29 8149 8017 132 1,62 8075 7917 158 1,96
MontgomeryCounty Arkansas 7841 7785 56 0,71 9245 9011 234 2,53 9487 9126 361 3,81 9433 9054 379 4,02
NevadaCounty Arkansas 10101 10037 64 0,63 9955 9804 151 1,52 8997 8777 220 2,45 9017 8765 252 2,79
NewtonCounty Arkansas 7666 7623 43 0,56 8608 8515 93 1,08 8330 8189 141 1,69 8264 8119 145 1,75
OuachitaCounty Arkansas 30574 30441 133 0,44 28790 28580 210 0,73 26120 25712 408 1,56 25880 25431 449 1,73
PerryCounty Arkansas 7969 7922 47 0,59 10209 10089 120 1,18 10445 10198 247 2,36 10405 10147 258 2,48
PhillipsCounty Arkansas 28838 28601 237 0,82 26445 26063 382 1,44 21757 21470 287 1,32 21442 21121 321 1,50
